,TaxID,Resources,NicheWidth,GenomeSize,GeneCounts,ProteinCodingGenes
29,2325.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Glucose', 'Yeast extract', 'Casein peptone', 'Trypticase soy broth', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'K2HPO4', 'KH2PO4', '(NH4)2SO4', 'NH4Cl', 'Na2S x 9 H2O', 'Na2HPO4 x 12 H2O', 'NaH2PO4 x H2O', 'L-Cysteine HCl x H2O', 'Sodium resazurin', '5861', '241', 'Malt extract', 'Bacto peptone', 'Glycerol', 'Casamino acids', 'CaCO3']",27,2397824,2517,2278
30,1300344.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth', 'MgSO4 x 7 H2O', 'Bacto peptone', 'Glycerol', 'Beef extract', 'Casamino acids', 'Malt extract', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",18,3826972,3497,3415
31,359385.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Soy peptone', 'Malt extract', 'Yeast extract', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2', 'Trypticase soy broth', 'Tryptone', 'Bacto peptone', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'Casamino acids', 'Starch', 'Proteose peptone no. 3', 'Sodium pyruvate', 'CaCl2 x 2 H2O', 'Casein peptone', 'Meat extract', 'dehydrated Wilkins-Chalgren medium', 'L-Cysteine HCl', 'Sodium resazurin', 'KH2PO4', '(NH4)2SO4', 'Na2HPO4', 'Na-malate', 'Bis-Tris', '4059', '934', 'CaCO3', 'FeSO4 x 7 H2O', 'Na2CO3', 'NiCl2 x 6 H2O', 'DL-Dithiothreitol', 'KNO3', 'K2HPO4 x 3 H2O', '241']",46,4942039,4279,4052
32,29466.0,"['Distilled water', 'Glucose', 'Yeast extract', 'Tween 80', 'Na-thioglycolate', 'Trypticase', 'Na-(DL)-lactate', 'Meat extract', 'MgSO4 x 7 H2O', 'K2HPO4', 'MnSO4 x H2O', 'Casein peptone', 'Na-acetate', '(NH4)3 citrate', 'Polypeptone', 'Sodium acetate', 'Xylose', '(NH4)2 citrate']",18,2132142,1908,1841
33,471.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Yeast extract', 'Trypticase soy broth', 'Bacto peptone', 'Tryptone', 'Meat extract', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2', 'Glucose', 'CaCO3', 'Malt extract']",20,4115994,3927,3784
34,743718.0,"['Agar', 'Distilled water', 'MgSO4 x 7 H2O', 'Yeast extract', 'Bacto peptone', 'Glycerol', 'Beef extract', 'Casamino acids', 'Malt extract', 'Trypticase soy broth', 'Peptone', 'Meat extract', 'Rolled oats', '147', 'Glucose', 'CaCO3']",16,3307740,3081,2971
35,665577.0,"['Agar', 'Distilled water', 'Yeast extract', 'Starch', 'Rolled oats', '147', 'Glucose', 'CaCO3', 'Malt extract']",9,7280536,6545,6253
36,75385.0,"['Agar', 'Distilled water', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'Yeast extract', 'Casamino acids', 'Starch', 'Proteose peptone no. 3', 'Sodium pyruvate', 'Peptone', 'KH2PO4', '(NH4)2SO4', 'Na glutamate', 'Monosodium glutamate']",15,3844677,3683,3582
37,1941349.0,"['Distilled water', 'CaCl2 x 2 H2O', 'K2HPO4', 'Na2CO3', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'KCl', 'MgCl2 x 6 H2O', 'Na2SO4', 'D-Glucose', 'L-Cysteine HCl x H2O', 'Sodium resazurin', '5980', '241']",15,3192293,2434,2366
38,889378.0,"['Distilled water', 'K2HPO4', 'Yeast extract', 'Na2CO3', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'NaHCO3', 'KCl', 'Sucrose', 'Na-(DL)-lactate', '5902']",12,3285855,2859,2796
39,74969.0,"['Distilled water', 'MgSO4 x 7 H2O', 'K2HPO4', 'FeSO4 x 7 H2O', 'Yeast extract', '(NH4)2SO4', 'KCl']",7,1826943,1851,1793
40,638849.0,"['Agar', 'Distilled water', 'K2HPO4', 'Yeast extract', 'Casitone', 'Ground beef', 'NaOH', 'L-Cysteine HCl']",8,2686623,2578,2494
41,44750.0,"['Agar', 'Distilled water', 'MgSO4 x 7 H2O', 'Yeast extract', 'Bacto peptone', 'Glycerol', 'Beef extract', 'Casamino acids', 'Malt extract']",9,2439611,2306,2200
42,320778.0,"['Peptone', 'Agar', 'Distilled water', 'Yeast extract', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",12,5744420,5231,4926
43,333140.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4479953,3926,3870
44,728066.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",4,4459178,4081,3978
45,134034.0,"['Agar', 'Distilled water', 'MgSO4 x 7 H2O', 'Yeast extract', 'Bacto peptone', 'Glycerol', 'Beef extract', 'Casamino acids', 'Malt extract']",9,2881812,2564,2470
46,2530390.0,"['Agar', 'Distilled water', 'K2HPO4', 'Yeast extract', 'Casitone', 'Ground beef', 'NaOH', 'L-Cysteine HCl']",8,3430462,3015,2905
47,1348613.0,"['Distilled water', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'K2HPO4', 'KH2PO4', 'FeSO4 x 7 H2O', 'Yeast extract', 'Na2CO3', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'Casitone', 'Betaine x H2O', 'FeSO4', 'L-Cysteine HCl x H2O', 'Trehalose', 'Sodium resazurin', '5980']",18,6325483,5297,5199
48,72557.0,"['Distilled water', 'Bacto peptone', 'NaCl', 'Beef extract', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', '(NH4)2SO4', 'Na2HPO4', '4059', 'Peptone', 'Meat extract', 'Agar', 'K2HPO4', 'FeSO4 x 7 H2O', 'Yeast extract', 'Na2CO3', 'D-Fructose', 'NH4Cl', 'Na2S x 9 H2O', 'Casitone', 'FeSO4', 'L-Cysteine HCl x H2O', 'Trehalose', 'Sodium resazurin', '5980']",26,6366684,5859,5710
49,1441386.0,"['Distilled water', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Yeast extract', '(NH4)2SO4', 'FeCl2 x 4 H2O', 'L-Cysteine HCl x H2O', 'Ferric citrate monohydrate', '5980', '155']",11,2044999,2024,1962
50,1041930.0,"['Distilled water', 'CaCl2 x 2 H2O', 'KH2PO4', 'Yeast extract', 'Na-acetate', 'Na2CO3', 'NH4Cl', 'KCl', 'MgCl2 x 6 H2O', 'DL-Dithiothreitol', 'FeSO4', 'L-Cysteine HCl x H2O', 'Trehalose', 'Sodium resazurin', '1038', '5980']",16,2378438,2569,2502
51,1379040.0,"['Agar', 'Distilled water', 'Glucose', 'CaCl2 x 2 H2O', 'Yeast extract', 'NaCl', 'NaHCO3', 'KCl', 'MgCl2 x 6 H2O', 'FeCl3 x 6 H2O', 'Proteose peptone', 'NaBr', 'MgSO4 x 6 H2O']",13,2853958,2907,2807
52,284035.0,"['Agar', 'Distilled water', 'Rolled oats', '147', 'Glucose', 'CaCO3', 'Yeast extract', 'Malt extract']",8,7863969,7187,6847
53,2242.0,"['Distilled water', 'Bacto peptone', 'NaCl', 'Beef extract', 'Agar', 'Yeast extract', 'Trypticase soy broth', 'Glucose', 'NH4NO3', 'Polypeptone', 'Peptone', 'Meat extract', 'MgSO4 x 7 H2O', 'FeSO4 x 7 H2O', 'KCl', 'Casamino acids', 'Na3-citrate', 'CaCl2 x 2 H2O', 'KH2PO4', '(NH4)2SO4', 'Na2HPO4', '4059', 'Na glutamate', 'K2HPO4', 'NiCl2 x 6 H2O', 'NH4Cl', 'MgCl2 x 6 H2O', 'Na2WO4 x 2 H2O', '241']",29,2429680,2584,2479
54,1826607.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4351658,4384,4282
55,59814.0,"['Peptone', 'Meat extract', 'Agar', 'Distilled water']",4,4885065,4606,4443
56,157779.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,3667185,3329,3227
57,82633.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract']",5,6174043,5604,5468
58,1852374.0,"['Agar', 'Distilled water', 'K2HPO4', 'Yeast extract', 'Casitone', 'Trypticase peptone', 'Phytone peptone', 'Ground beef', 'Maltose', 'Starch', 'D-Glucose', 'Cellobiose', 'NaOH', 'L-Cysteine HCl', 'Sodium resazurin', '5540']",16,1741785,1653,1574
59,727.0,"['Agar', 'Distilled water', 'Glucose', 'CaCO3', 'Yeast extract', 'Malt extract', 'dehydrated Wilkins-Chalgren medium', 'L-Cysteine HCl', 'Sodium resazurin', 'KH2PO4', 'Na2CO3', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'NaHCO3', 'KCl', 'MgCl2 x 6 H2O', 'D-Glucose', 'FeSO4', '5980', 'Na2S2O3 x 5 H2O', 'Na-crotonate', 'Trypticase soy broth', 'MgSO4 x 7 H2O', 'Bacto peptone', 'Glycerol', 'Beef extract', 'Casamino acids', 'Fe(III) citrate', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",33,1846259,1834,1700
60,926556.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,5608040,4499,4407
61,615.0,"['Peptone', 'Agar', 'Distilled water', 'Beef extract', 'NaCl', 'Soy peptone', 'Malt extract', 'Oat flakes', 'Yeast extract', 'Trypticase soy broth', 'Meat extract', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'MnSO4 x H2O', 'Casein peptone', 'Tween 80', 'Na-acetate', '(NH4)3 citrate', 'Bacto peptone', 'CaCl2 x 2 H2O', 'NH4Cl', 'NaHCO3', 'Na2S2O3 x 5 H2O', 'KNO3', '1038', '2762', 'Tryptone', 'Glycerol', 'Casamino acids', 'Dextrose', 'KH2PO4', 'Na2CO3', 'Na2S x 9 H2O', 'MgCl2 x 6 H2O', 'Na2SO4', '690', '691', 'Casitone', 'Trypticase peptone', 'Phytone peptone', 'Ground beef', 'Maltose', 'Starch', 'D-Glucose', 'Cellobiose', 'NaOH', 'L-Cysteine HCl', 'Sodium resazurin', '5540']",50,5238537,5037,4883
62,391595.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4745450,4549,4405
63,233316.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,4649146,3984,3882
64,154288.0,"['Agar', 'Distilled water', 'K2HPO4', 'Yeast extract', 'Casitone', 'Trypticase peptone', 'Phytone peptone', 'Ground beef', 'Maltose', 'Starch', 'D-Glucose', 'Cellobiose', 'NaOH', 'L-Cysteine HCl', 'Sodium resazurin', '5540']",16,2999687,2904,2735
65,379684.0,"['Agar', 'Distilled water', 'Yeast extract', 'NaCl', 'Tryptone', 'Peptone', 'Meat extract']",7,5375550,5152,5000
66,523848.0,"['Distilled water', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Yeast extract', '(NH4)2SO4', 'FeCl3 x 6 H2O', '155']",8,2916875,3159,2968
67,323259.0,"['Agar', 'Distilled water', 'Soy peptone', 'Malt extract', 'CaCl2 x 2 H2O', 'MgSO4 x 7 H2O', 'KH2PO4', 'Yeast extract', 'Na-acetate', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'NaHCO3', 'Na-formate', 'Brain heart infusion', 'Proteose peptone', 'FeSO4', 'L-Cysteine HCl x H2O', 'Sodium resazurin', '1038']",20,3544738,3416,3323
68,37929.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract']",5,3844439,3609,3491
69,997890.0,"['Agar', 'Distilled water', 'K2HPO4', 'Yeast extract', 'Casitone', 'Ground beef', 'NaOH', 'L-Cysteine HCl']",8,4920161,4085,3936
70,67385.0,"['Agar', 'Distilled water', 'Yeast extract', 'Starch', 'Glucose', 'CaCO3', 'Malt extract']",7,8595635,7850,7606
71,1971.0,"['Agar', 'Distilled water', 'MgSO4 x 7 H2O', 'K2HPO4', 'CaCO3', '(NH4)2SO4', 'NaCl', 'Starch', '147', 'Yeast extract', 'Glucose', 'CaCl2 x 2 H2O', 'Casein peptone', 'Beef extract', 'Rolled oats', 'Malt extract']",16,9857535,8673,8247
72,1235441.0,"['Agar', 'Distilled water', 'Glucose', 'CaCl2 x 2 H2O', 'Yeast extract', 'Casein peptone', 'Beef extract']",7,6142152,5511,5320
73,1427523.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth']",4,3212703,2982,2898
74,71997.0,"['Agar', 'Distilled water', 'Yeast extract', 'Trypticase soy broth', 'MgSO4 x 7 H2O', 'K2HPO4', 'FeSO4 x 7 H2O', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'KCl', 'Tryptone', 'MgCl2 x 6 H2O', 'Sulfur', '3804', '3861', 'Bacto peptone', 'Fe(III) citrate', 'NaHCO3', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",23,1674122,1905,1841
75,1499973.0,"['Peptone', 'Meat extract', 'Agar', 'Distilled water']",4,4669757,4465,4233
76,93378.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Bacto peptone']",6,3817113,3536,3338
77,573501.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2']",11,3994766,3439,3376
78,1435069.0,"['Distilled water', 'Yeast extract', 'Bacto peptone', 'NaCl', 'Fe(III) citrate', 'NaHCO3', 'KCl', 'CaCl2', 'Na2SO4', 'KBr', 'MgCl2', 'Peptone', 'Agar']",13,5221926,4747,4556
79,1712410.0,"['Distilled water', 'CaCl2 x 2 H2O', 'KH2PO4', 'Yeast extract', 'Na-acetate', 'NH4Cl', 'NaCl', 'Na2S x 9 H2O', 'NaHCO3', 'KCl', 'MgCl2 x 6 H2O', 'Na2SO4', 'Na-butyrate', 'FeSO4', 'Trehalose', 'Sodium resazurin', '5980']",17,3805411,3869,3732
80,31963.0,"['Agar', 'Distilled water', 'Glucose', 'Yeast extract', 'Casein peptone', 'NaCl', 'Trypticase soy broth']",7,3142110,3022,2942
81,32062.0,"['Peptone', 'Agar', 'Distilled water', 'Beef extract', 'Yeast extract', 'Trypticase soy broth']",6,2827165,2840,2725
82,58169.0,"['Peptone', 'Meat extract', 'Agar', 'Distilled water']",4,5471205,5092,4925
83,768492.0,"['Peptone', 'Agar', 'Distilled water', 'NaCl', 'Beef extract', 'Soy peptone', 'Malt extract', 'Bacto peptone', 'Meat extract', 'Glucose', 'MgSO4 x 7 H2O', 'K2HPO4', 'MnSO4 x H2O', 'Yeast extract', 'Casein peptone', 'Tween 80', 'Na-acetate', '(NH4)3 citrate', 'Trypticase soy broth', 'Tryptone', 'Casitone', 'Sucrose', 'Starch', 'Raffinose', 'Galactose', 'KNO3', 'Oatmeal', 'CaCl2 x 2 H2O', 'H3BO3', 'Na2S x 9 H2O', 'NaHCO3', 'KCl', 'MgCl2 x 6 H2O', 'Na2SO4', 'KBr', 'SrCl2 x 6 H2O', 'NaF', 'Na2HPO4 x 2 H2O', 'Sodium resazurin', ""Baker's yeast"", 'CaCO3', 'KH2PO4', 'FeSO4 x 7 H2O', 'NH4Cl', 'Trypticase peptone', 'D-Glucose', 'Na-(DL)-lactate', '250', 'N-Z amine', 'Glycerol', 'Casamino acids']",51,5442880,5119,4952
