,0,1
502,CCAP6080/1,['C59']
503,CCAP1534/15,['C4']
504,CCAP276/35,['C14']
505,CCAP4018/2,['C56']
506,CCAP1322/5,['C56']
507,CCAP1318/413,['C56']
508,CCAP2533/1,['C63']
509,CCAP24/2B,['C14']
510,CCAP1316/1,['C56']
511,CCAP1318/214,['C56']
512,CCAP1501/17,['C68']
513,CCAP1310/297,['C56']
514,CCAP211/61,['C26']
515,CCAP1572/5,['C68']
516,CCAP1459/9,['C10']
517,CCAP1450/12,['C17']
518,CCAP254/5,['C14']
519,CCAP1027/2,['C37']
520,CCAP1581/3,['C68']
521,CCAP1055/2,['C37']
522,CCAP216/4,['C79']
523,CCAP1586/1,['C76']
524,CCAP1224/44,['C41']
525,CCAP11/93,['C14']
526,CCAP1318/21,['C56']
527,CCAP1310/333,['C56']
528,CCAP1318/249,['C56']
529,CCAP258/108,['C14']
530,CCAP1915/8,['C63']
531,CCAP1318/198,['C56']
532,CCAP1010/49,['C37']
533,CCAP1537/10,['C76']
534,CCAP1310/57,['C56']
535,CCAP1315/1,['C56']
536,CCAP1388/2,['C34']
537,CCAP1318/259,['C56']
538,CCAP1010/54,['C37']
539,CCAP1224/32B,['C41']
540,CCAP1318/46,['C56']
541,CCAP211/11C,['C14']
542,CCAP946/4,['C34']
543,CCAP202/4A,['C79']
544,CCAP284/1,['C14']
545,CCAP222/56,['C14']
546,CCAP727/1,"['C34', 'C47']"
547,CCAP1085/31,['C37']
548,CCAP32/33,['C14']
549,CCAP6079/1,['C34']
550,CCAP860/2,['C79']
551,CCAP7/2B,['C95']
552,CCAP1318/14,['C56']
553,CCAP1310/110,['C56']
554,CCAP181/9,['C14']
555,CCAP463/3,['C14']
556,CCAP1501/1A,['C68']
557,CCAP24/5,['C14']
558,CCAP230/1,['C14']
559,CCAP1318/91,['C56']
560,CCAP1010/3,['C37']
561,CCAP1615/4,['C92']
562,CCAP1310/340,['C56']
563,CCAP822/1,['C14']
564,CCAP211/120,['C14']
565,CCAP11/4,['C14']
566,CCAP1953/1,['C12']
567,CCAP1369/1,['C4']
568,CCAP258/265,['C14']
569,CCAP1974/4,['C58']
570,CCAP1010/42,['C37']
571,CCAP1432/1,['C17']
