,0,1
247,JCM 17882,['J75']
248,JCM 28242,['J25']
249,JCM 15668,['J346']
250,JCM 6020,['J30']
251,JCM 23066,['J30']
252,JCM 32100,['J1191']
253,JCM 30603,['J346']
254,JCM 2186,"['J25', 'J30']"
255,JCM 5675,"['J27', 'J70']"
256,JCM 30518,"['J30', 'J1054']"
257,JCM 10155,['J30']
258,JCM 31321,['J118']
259,JCM 21541,['J346']
260,JCM 30862,['J346']
261,JCM 31967,['J118']
262,JCM 32236,['J30']
263,JCM 39119,['J30']
264,JCM 19502,['J346']
265,JCM 2270,"['J30', 'J31']"
266,JCM 32247,['J346']
267,JCM 1700,"['J25', 'J30', 'J61']"
268,JCM 16688,"['J30', 'J148']"
269,JCM 11732,['J118']
270,JCM 19979,"['J30', 'J148']"
271,JCM 13206,['J156']
272,JCM 10143,"['J25', 'J30']"
273,JCM 3608,"['J25', 'J30']"
274,JCM 10679,"['J30', 'J148']"
275,JCM 16349,['J75']
276,JCM 10610,['J14']
277,JCM 30276,['J26']
278,JCM 5435,['J22']
279,JCM 4142,['J42']
280,JCM 12086,['J153']
281,JCM 32460,['J28']
282,JCM 15414,"['J25', 'J30']"
283,JCM 7482,"['J25', 'J30']"
284,JCM 7536,"['J25', 'J30']"
285,JCM 5562,['J30']
286,JCM 19875,['J681']
287,JCM 11743,"['J25', 'J30']"
288,JCM 10814,"['J25', 'J30']"
289,JCM 1142,['J13']
290,JCM 9122,['J27']
291,JCM 9843,"['J25', 'J30']"
292,JCM 9481,"['J25', 'J30']"
293,JCM 9283,"['J25', 'J30']"
294,JCM 7445,"['J25', 'J30']"
295,JCM 22526,"['J30', 'J226']"
296,JCM 28552,['J30']
297,JCM 10898,"['J25', 'J30']"
298,JCM 22814,"['J30', 'J226']"
299,JCM 31492,['J26']
300,JCM 33875,['J43']
301,JCM 18561,['J30']
302,JCM 20963,['J22']
303,JCM 5386,['J22']
304,JCM 18339,"['J30', 'J148']"
305,JCM 10603,['J14']
306,JCM 20573,['J22']
307,JCM 6808,"['J25', 'J30']"
308,JCM 8259,"['J25', 'J30']"
309,JCM 2311,"['J25', 'J30']"
310,JCM 22983,['J30']
311,JCM 6056,['J26']
312,JCM 31816,['J443']
313,JCM 8441,['J150']
314,JCM 21016,"['J124', 'J436']"
315,JCM 19519,['J118']
316,JCM 1809,"['J25', 'J30', 'J118']"
317,JCM 11145,"['J25', 'J30']"
318,JCM 11409,"['J25', 'J30']"
319,JCM 14774,['J443']
320,JCM 19092,['J746']
321,JCM 4437,['J43']
322,JCM 5282,"['J25', 'J30']"
323,JCM 31216,['J22']
324,JCM 19420,['J30']
325,JCM 15144,['J118']
326,JCM 7924,['J30']
327,JCM 14456,['J578']
328,JCM 24575,['J25']
329,JCM 2083,"['J25', 'J30', 'J118']"
330,JCM 8023,"['J14', 'J84']"
331,JCM 9327,"['J22', 'J70']"
332,JCM 10792,['J14']
333,JCM 2286,"['J25', 'J30']"
334,JCM 8651,['J13']
335,JCM 2719,"['J30', 'J226']"
336,JCM 2821,"['J22', 'J79']"
337,JCM 7604,"['J25', 'J30']"
338,JCM 19164,['J346']
339,JCM 30261,['J30']
340,JCM 3710,"['J25', 'J30']"
341,JCM 12436,['J13']
342,JCM 5576,['J30']
343,JCM 32197,['J346']
344,JCM 33365,['J43']
345,JCM 16504,"['J25', 'J30']"
346,JCM 22825,"['J30', 'J226']"
347,JCM 5841,['J22']
348,JCM 32159,['J346']
349,JCM 7440,['J30']
350,JCM 5601,['J30']
351,JCM 2291,"['J25', 'J30', 'J32', 'J33', 'J226']"
352,JCM 30532,['J14']
353,JCM 20599,['J127']
354,JCM 5480,['J22']
355,JCM 1775,"['J25', 'J28', 'J30', 'J118', 'J346', 'J900']"
356,JCM 12155,"['J25', 'J30']"
357,JCM 30151,['J599']
358,JCM 7491,"['J25', 'J30']"
359,JCM 8605,['J13']
360,JCM 5049,['J43']
361,JCM 19428,['J30']
362,JCM 31866,"['J118', 'J1153']"
363,JCM 2918,['J30']
364,JCM 22532,"['J30', 'J226']"
365,JCM 32955,['J574']
366,JCM 5465,['J22']
367,JCM 13486,['J557']
368,JCM 10734,"['J25', 'J30']"
369,JCM 8398,['J149']
370,JCM 32791,['J256']
371,JCM 14580,['J586']
372,JCM 13615,"['J25', 'J30']"
373,JCM 1780,"['J25', 'J30', 'J118']"
374,JCM 22429,"['J30', 'J226']"
375,JCM 1622,"['J25', 'J30']"
376,JCM 30880,['J118']
377,JCM 31176,['J346']
378,JCM 20078,['J22']
379,JCM 5081,['J12']
380,JCM 20114,['J12']
381,JCM 22677,['J30']
382,JCM 7962,"['J14', 'J84']"
383,JCM 8015,"['J14', 'J84']"
384,JCM 19480,['J13']
385,JCM 7995,"['J14', 'J84']"
386,JCM 2954,"['J25', 'J30']"
387,JCM 14056,"['J25', 'J30']"
388,JCM 9462,['J282']
389,JCM 12444,['J13']
390,JCM 8042,['J30']
391,JCM 6108,['J22']
392,JCM 28311,['J475']
393,JCM 18169,"['J30', 'J148']"
394,JCM 31541,['J118']
395,JCM 13050,['J12']
396,JCM 33718,['J27']
397,JCM 18444,"['J74', 'J75']"
398,JCM 32395,['J346']
399,JCM 5011,"['J42', 'J58']"
400,JCM 2308,"['J25', 'J30']"
401,JCM 9178,['J26']
402,JCM 11720,"['J30', 'J148']"
403,JCM 8633,['J13']
404,JCM 8936,"['J25', 'J30']"
405,JCM 1498,"['J23', 'J24']"
406,JCM 13688,"['J25', 'J30']"
407,JCM 22919,"['J32', 'J33']"
408,JCM 9477,"['J25', 'J30']"
409,JCM 9729,"['J25', 'J30']"
410,JCM 20138,['J12']
411,JCM 33135,['J14']
412,JCM 32826,['J475']
413,JCM 22428,"['J30', 'J226']"
414,JCM 22846,"['J30', 'J226']"
415,JCM 30824,['J118']
